"","estimate","p.value","2.5%","97.5%"
"EI25 _||_ EVI",-0.0679744314171044,0.778941567763381,-0.497793185448353,0.386767878911447
"EI25 _||_ PIE0",0.449646219306491,0.0458641140100024,0.00889543027427536,0.764793921396649
"EI25 _||_ Slop",-0.186682021224765,0.436072233613136,-0.586333385467391,0.278992587484539
"EVI _||_ PIE0",-0.457668878191017,0.0415207001692095,-0.770026429670966,-0.0189951446320138
"EVI _||_ Slop",-0.0155551442576484,0.948858213471343,-0.456355235829585,0.430977529535369
"PIE0 _||_ Slop",0.100742232701327,0.676835905440302,-0.358135740873055,0.522920476375344
